 ;пробел
-;дефис
:;двоеточие
LV ;Латвия, страна эл ви, л вэ пробел
LT ;Литва, латинская эл ти пробел, страна Литва
EST ;Эстония, страна английская е эс т пробел, и сэ ти
FIN ;страна Финляндия, эф ай латинская эн пробел, страна фэ и с точкой английская эн
E;и, е, латинская е, английская е
F;эф, фэ, латинская эф, английская эф
G;джи, гэ, латинская гэ, английская гэ
I;ай, и с точкой, и, латинская и, английская и
J;джей, джи
L;эл, л, латинская эл, английская эл
N;эн, нэ, н, латинская эн, английская эн
O;оу, о
Q;кью, ку
S;эс, сэ, с, эс как доллар, латинская эс, английская эс
T;ти, тэ, т
X;экс, икс, ха, хэ, х
1;один, единица
3;три, тройка
7;семь, семерка
8;восемь, восьмерка
0;ноль, нуль
00;два нуля, два ноля, дубль нуль, дубль ноль, дуплет нулей, дуплет нолей
11;одиннадцать, две единицы, дубль один, дуплет единиц
13;тринадцать
18;восемнадцать
33;тридцать три, две тройки, дубль три, дуплет троек
111;сто одиннадцать, три единицы, триплет единиц
113;сто тринадцать
133;сто тридцать три
1133;тысяча сто тридцать три